City ID,City,State
40,Sheffield,Wales
9,Edinburgh,England
2,Birmingham,Northern Ireland
13,Glasgow,England
37,Sheffield,England
33,Newcastle,England
29,Manchester,England
28,London,Wales
5,Bristol,England
8,Bristol,Wales
14,Glasgow,Northern Ireland
32,Manchester,Wales
12,Edinburgh,Wales
25,London,England
17,Leeds,England
30,Manchester,Northern Ireland
18,Leeds,Northern Ireland
7,Bristol,Scotland
4,Birmingham,Wales
10,Edinburgh,Northern Ireland
23,Liverpool,Scotland
24,Liverpool,Wales
11,Edinburgh,Scotland
1,Birmingham,England
36,Newcastle,Wales
16,Glasgow,Wales
19,Leeds,Scotland
22,Liverpool,Northern Ireland
26,London,Northern Ireland
21,Liverpool,England
3,Birmingham,Scotland
15,Glasgow,Scotland
6,Bristol,Northern Ireland
20,Leeds,Wales
39,Sheffield,Scotland
31,Manchester,Scotland
35,Newcastle,Scotland
27,London,Scotland
38,Sheffield,Northern Ireland
34,Newcastle,Northern Ireland
